mol_name,label,center,mmff_angle,dft_angle,delta
propyne,C-C_C,C,179.99985499414288,179.99487010703052,-0.004984887112357228
propyne,C-H_C,C,179.99984880490703,179.99075601178876,-0.009092793118270492
pyridine,C-C_C,C,119.31663078316687,118.52225315688209,-0.7943776262847848
pyridine,C-H_C,C,120.34169464420876,120.73887342152847,0.3971787773197093
pyridine,C-H_C,C,120.34167457249498,120.73887342152847,0.39719884903348657
pyridine,C-C_C,C,118.234311121375,118.42417011841641,0.18985899704141218
pyridine,C-H_C,C,121.11594464011092,121.27301335418578,0.15706871407485323
pyridine,C-H_C,C,120.64974423835568,120.30281652733684,-0.3469277110188358
pyridine,C-N_C,C,123.79743163952688,123.76717003118877,-0.030261608338108203
pyridine,C-H_C,C,121.00900846118516,120.31330481524418,-0.6957036459409807
pyridine,H-N_C,C,115.1935598992205,115.91952515350545,0.7259652542849437
pyridine,C-C_N,N,116.61992428950096,117.09503004724331,0.4751057577423552
pyridine,C-N_C,C,123.79743917821662,123.76720818521665,-0.030230992999975115
pyridine,H-N_C,C,115.19355733054913,115.91947271874423,0.725915388195105
pyridine,C-H_C,C,121.0090034911725,120.31331909597755,-0.6956843951949594
pyridine,C-C_C,C,118.23426298805586,118.42416846094761,0.18990547289175197
pyridine,C-H_C,C,120.64973804420097,120.30286475944386,-0.346873284757109
pyridine,C-H_C,C,121.11599896762532,121.27296677954757,0.15696781192225728
pyrrole,C-C_C,C,107.33812016088183,107.42706659425474,0.08894643337291086
pyrrole,C-H_C,C,126.88813155003025,126.83079729066435,-0.057334259365902085
pyrrole,C-H_C,C,125.77374828899953,125.74213611455454,-0.03161217444498732
pyrrole,C-C_C,C,107.33810771971845,107.42706659481964,0.08895887510118428
pyrrole,C-H_C,C,126.88808061691488,126.83087143725969,-0.05720917965518879
pyrrole,C-H_C,C,125.7738116627351,125.74206196785244,-0.03174969488266299
pyrrole,C-N_C,C,107.99476518520522,107.66885704508783,-0.32590814011739155
pyrrole,C-H_C,C,131.23562448105474,131.25223372518974,0.016609244134997425
pyrrole,H-N_C,C,120.76961033329417,121.07890922857612,0.3092988952819553
pyrrole,C-C_N,N,109.33420692568673,109.80815271637955,0.4739457906928237
pyrrole,C-H_N,N,125.33293745293633,125.09598048220357,-0.23695697073276278
pyrrole,C-H_N,N,125.33285562120541,125.09586679886078,-0.23698882234462815
pyrrole,C-N_C,C,107.99480000748315,107.66885704456689,-0.32594296291625824
pyrrole,H-N_C,C,120.76969225175002,121.0789577375691,0.30926548581908264
pyrrole,C-H_C,C,131.23550774046282,131.25218521693895,0.016677476476132824
tert-butanol,C-H_C,C,111.62253903838398,111.53387359891425,-0.08866543946972172
tert-butanol,C-H_C,C,110.8190120067411,110.23983609649325,-0.5791759102478551
tert-butanol,C-H_C,C,110.90983550473577,110.74981310478992,-0.160022399945845
tert-butanol,H-H_C,C,108.51911423502939,108.54620417983857,0.027089944809176814
tert-butanol,H-H_C,C,108.40290425030936,107.54008642051885,-0.8628178297905151
tert-butanol,H-H_C,C,106.38164396528516,108.11464669882578,1.7330027335406157
tert-butanol,C-C_C,C,110.89569190707122,110.91113261245529,0.015440705384065723
tert-butanol,C-C_C,C,110.59650378894146,110.90395330734422,0.3074495184027626
tert-butanol,C-O_C,C,108.55612673696928,109.56694795066227,1.0108212136929922
tert-butanol,C-C_C,C,110.59652677247547,110.903980386847,0.30745361437152496
tert-butanol,C-O_C,C,108.55620813415503,109.56694246914195,1.0107343349869211
tert-butanol,C-O_C,C,107.53257213918575,104.80556309685142,-2.7270090423343305
tert-butanol,C-H_C,C,110.8189952919107,110.23983728162486,-0.5791580102858376
tert-butanol,C-H_C,C,110.90970338482987,110.74984117074324,-0.1598622140866297
tert-butanol,C-H_C,C,111.62246730474061,111.5338985425973,-0.08856876214331066
tert-butanol,H-H_C,C,106.38174834419377,108.1146789025892,1.732930558395438
tert-butanol,H-H_C,C,108.51921508494706,108.54616769953321,0.026952614586150503
tert-butanol,H-H_C,C,108.4029332250685,107.54003459124982,-0.8628986338186735
tert-butanol,C-H_C,C,110.85160636192622,110.2339118675885,-0.6176944943377123
tert-butanol,C-H_C,C,111.6671861449628,110.94795687065167,-0.7192292743111324
tert-butanol,C-H_C,C,110.85160938476248,110.23393472088254,-0.6176746638799386
tert-butanol,H-H_C,C,108.46299645359618,108.61551532082635,0.15251886723017094
